timestamp_unix,timestamp_readable,latitude,longitude,gps_quality,num_satellites,horizontal_dilution,altitude,altitude_units,geoid_height,geoid_height_units,dgps_time,dgps_station_id,raw_sentence,hz_instantaneous,hz_average
1749735917.2848349,2025-06-12 20:45:17.284,-7.283585666666666,112.796716,2,08,0.93,19.9,M,17.3,M,,0000,"$GPGGA,134517.00,0717.01514,S,11247.80296,E,2,08,0.93,19.9,M,17.3,M,,0000*75",0.0,2.68
1749735918.290167,2025-06-12 20:45:18.290,-7.283586166666667,112.79671616666667,2,08,0.82,20.1,M,17.3,M,,0000,"$GPGGA,134518.00,0717.01517,S,11247.80297,E,2,08,0.82,20.1,M,17.3,M,,0000*7A",0.99,1.45
1749735919.2859385,2025-06-12 20:45:19.285,-7.283587,112.7967165,2,08,0.82,20.1,M,17.3,M,,0000,"$GPGGA,134519.00,0717.01522,S,11247.80299,E,2,08,0.82,20.1,M,17.3,M,,0000*73",1.0,1.26
1749735920.2873163,2025-06-12 20:45:20.287,-7.283587833333334,112.796717,2,08,0.82,20.2,M,17.3,M,,0000,"$GPGGA,134520.00,0717.01527,S,11247.80302,E,2,08,0.82,20.2,M,17.3,M,,0000*7C",1.0,1.19
1749735921.2891445,2025-06-12 20:45:21.289,-7.2835885,112.79671733333333,2,08,0.82,20.3,M,17.3,M,,0000,"$GPGGA,134521.00,0717.01531,S,11247.80304,E,2,08,0.82,20.3,M,17.3,M,,0000*7D",1.0,1.14
1749735922.282885,2025-06-12 20:45:22.282,-7.2835893333333335,112.7967185,2,08,0.82,20.4,M,17.3,M,,0000,"$GPGGA,134522.00,0717.01536,S,11247.80311,E,2,08,0.82,20.4,M,17.3,M,,0000*7A",1.0,1.12
1749735923.2856898,2025-06-12 20:45:23.285,-7.2835901666666665,112.796719,2,08,0.82,20.5,M,17.3,M,,0000,"$GPGGA,134523.00,0717.01541,S,11247.80314,E,2,08,0.82,20.5,M,17.3,M,,0000*7F",1.0,1.1
1749735924.289691,2025-06-12 20:45:24.289,-7.283591166666667,112.7967195,2,08,0.82,20.7,M,17.3,M,,0000,"$GPGGA,134524.00,0717.01547,S,11247.80317,E,2,08,0.82,20.7,M,17.3,M,,0000*7F",1.0,1.08
1749735925.289144,2025-06-12 20:45:25.289,-7.283592166666667,112.796721,2,08,0.82,21.0,M,17.3,M,,0000,"$GPGGA,134525.00,0717.01553,S,11247.80326,E,2,08,0.82,21.0,M,17.3,M,,0000*7F",1.0,1.07
1749735926.2867067,2025-06-12 20:45:26.286,-7.283593,112.79672133333334,2,08,0.82,21.1,M,17.3,M,,0000,"$GPGGA,134526.00,0717.01558,S,11247.80328,E,2,08,0.82,21.1,M,17.3,M,,0000*78",1.0,1.07
1749735927.287156,2025-06-12 20:45:27.287,-7.2835936666666665,112.7967215,2,08,0.82,21.0,M,17.3,M,,0000,"$GPGGA,134527.00,0717.01562,S,11247.80329,E,2,08,0.82,21.0,M,17.3,M,,0000*70",1.0,1.06
1749735928.2857199,2025-06-12 20:45:28.285,-7.283594166666667,112.79672183333334,2,08,0.82,21.0,M,17.3,M,,0000,"$GPGGA,134528.00,0717.01565,S,11247.80331,E,2,08,0.82,21.0,M,17.3,M,,0000*71",1.0,1.06
1749735929.2869442,2025-06-12 20:45:29.286,-7.2835945,112.79672183333334,2,08,0.82,20.8,M,17.3,M,,0000,"$GPGGA,134529.00,0717.01567,S,11247.80331,E,2,08,0.82,20.8,M,17.3,M,,0000*7B",1.0,1.05
1749735930.289994,2025-06-12 20:45:30.289,-7.283594666666667,112.796722,2,08,0.82,20.7,M,17.3,M,,0000,"$GPGGA,134530.00,0717.01568,S,11247.80332,E,2,08,0.82,20.7,M,17.3,M,,0000*70",1.0,1.05
1749735931.2837253,2025-06-12 20:45:31.283,-7.283594833333333,112.796722,2,08,0.82,20.5,M,17.3,M,,0000,"$GPGGA,134531.00,0717.01569,S,11247.80332,E,2,08,0.82,20.5,M,17.3,M,,0000*72",1.0,1.04
1749735932.2862313,2025-06-12 20:45:32.286,-7.283595,112.79672216666667,2,08,0.82,20.6,M,17.3,M,,0000,"$GPGGA,134532.00,0717.01570,S,11247.80333,E,2,08,0.82,20.6,M,17.3,M,,0000*7B",1.0,1.04
1749735933.2816076,2025-06-12 20:45:33.281,-7.283595333333333,112.79672216666667,2,09,0.82,20.6,M,17.3,M,,0000,"$GPGGA,134533.00,0717.01572,S,11247.80333,E,2,09,0.82,20.6,M,17.3,M,,0000*79",1.0,1.04
1749735934.2882345,2025-06-12 20:45:34.288,-7.2835955,112.796722,2,08,0.82,20.7,M,17.3,M,,0000,"$GPGGA,134534.00,0717.01573,S,11247.80332,E,2,08,0.82,20.7,M,17.3,M,,0000*7E",1.0,1.04
1749735935.28667,2025-06-12 20:45:35.286,-7.2835955,112.79672183333334,2,08,0.82,20.8,M,17.3,M,,0000,"$GPGGA,134535.00,0717.01573,S,11247.80331,E,2,08,0.82,20.8,M,17.3,M,,0000*73",1.0,1.03
1749735936.2860196,2025-06-12 20:45:36.286,-7.2835945,112.796722,2,08,0.82,20.9,M,17.3,M,,0000,"$GPGGA,134536.00,0717.01567,S,11247.80332,E,2,08,0.82,20.9,M,17.3,M,,0000*77",1.0,1.03
1749735937.2850232,2025-06-12 20:45:37.285,-7.283594833333333,112.79672216666667,2,08,0.82,20.8,M,17.3,M,,0000,"$GPGGA,134537.00,0717.01569,S,11247.80333,E,2,08,0.82,20.8,M,17.3,M,,0000*78",1.0,1.03
1749735938.28699,2025-06-12 20:45:38.286,-7.2835955,112.79672166666667,2,09,0.79,20.6,M,17.3,M,,0000,"$GPGGA,134538.00,0717.01573,S,11247.80330,E,2,09,0.79,20.6,M,17.3,M,,0000*74",1.0,1.03
1749735939.2881587,2025-06-12 20:45:39.288,-7.283596,112.7967215,2,09,0.79,20.7,M,17.3,M,,0000,"$GPGGA,134539.00,0717.01576,S,11247.80329,E,2,09,0.79,20.7,M,17.3,M,,0000*79",1.0,1.03
1749735940.285544,2025-06-12 20:45:40.285,-7.283595666666667,112.796722,2,09,0.79,20.6,M,17.3,M,,0000,"$GPGGA,134540.00,0717.01574,S,11247.80332,E,2,09,0.79,20.6,M,17.3,M,,0000*7E",1.0,1.03
